location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-01 00:00:00 +0100;Wednesday;11729;4;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-02 00:00:00 +0100;Thursday;20777;5;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-03 00:00:00 +0100;Friday;15826;7;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-04 00:00:00 +0100;Saturday;14962;6;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-05 00:00:00 +0100;Sunday;7316;3;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-06 00:00:00 +0100;Monday;12709;6;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-07 00:00:00 +0100;Tuesday;10445;5;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-08 00:00:00 +0100;Wednesday;11212;8;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-09 00:00:00 +0100;Thursday;9650;10;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-10 00:00:00 +0100;Friday;13006;11;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-11 00:00:00 +0100;Saturday;16033;6;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-12 00:00:00 +0100;Sunday;6443;6;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-13 00:00:00 +0100;Monday;11300;7;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-14 00:00:00 +0100;Tuesday;11559;10;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-15 00:00:00 +0100;Wednesday;13061;13;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-16 00:00:00 +0100;Thursday;13753;10;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-17 00:00:00 +0100;Friday;14165;9;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-18 00:00:00 +0100;Saturday;17101;8;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-19 00:00:00 +0100;Sunday;6571;6;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-20 00:00:00 +0100;Monday;11223;5;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-21 00:00:00 +0100;Tuesday;11741;6;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-22 00:00:00 +0100;Wednesday;11142;7;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-23 00:00:00 +0100;Thursday;11930;6;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-24 00:00:00 +0100;Friday;13780;4;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-25 00:00:00 +0100;Saturday;14299;4;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-26 00:00:00 +0100;Sunday;6703;3;cloudy;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-27 00:00:00 +0100;Monday;12035;10;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-28 00:00:00 +0100;Tuesday;8647;9;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-29 00:00:00 +0100;Wednesday;10496;6;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-30 00:00:00 +0100;Thursday;11627;9;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-01-31 00:00:00 +0100;Friday;14373;10;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-02-01 00:00:00 +0100;Saturday;11218;11;rain;
