location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Zeil (Mitte), Frankfurt a.M.;2020-01-01 00:00:00 +0100;Wednesday;25749;3;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-02 00:00:00 +0100;Thursday;66965;2;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-03 00:00:00 +0100;Friday;67684;9;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-04 00:00:00 +0100;Saturday;89452;8;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-05 00:00:00 +0100;Sunday;16780;7;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-06 00:00:00 +0100;Monday;59966;3;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-07 00:00:00 +0100;Tuesday;54529;7;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-08 00:00:00 +0100;Wednesday;44813;8;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-09 00:00:00 +0100;Thursday;44406;12;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-10 00:00:00 +0100;Friday;60307;11;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-11 00:00:00 +0100;Saturday;93899;7;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-12 00:00:00 +0100;Sunday;15803;6;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-13 00:00:00 +0100;Monday;48218;7;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-14 00:00:00 +0100;Tuesday;54563;9;cloudy;
Zeil (Mitte), Frankfurt a.M.;2020-01-15 00:00:00 +0100;Wednesday;61572;13;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-16 00:00:00 +0100;Thursday;67736;13;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-17 00:00:00 +0100;Friday;67945;10;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-18 00:00:00 +0100;Saturday;101304;7;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-19 00:00:00 +0100;Sunday;21544;6;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-20 00:00:00 +0100;Monday;56550;5;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-21 00:00:00 +0100;Tuesday;53806;4;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-22 00:00:00 +0100;Wednesday;46528;2;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-23 00:00:00 +0100;Thursday;58107;5;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-24 00:00:00 +0100;Friday;60714;2;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-25 00:00:00 +0100;Saturday;94021;2;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-01-26 00:00:00 +0100;Sunday;19117;4;cloudy;
Zeil (Mitte), Frankfurt a.M.;2020-01-27 00:00:00 +0100;Monday;36413;8;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-28 00:00:00 +0100;Tuesday;47949;8;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-29 00:00:00 +0100;Wednesday;53962;7;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-30 00:00:00 +0100;Thursday;64155;10;rain;
Zeil (Mitte), Frankfurt a.M.;2020-01-31 00:00:00 +0100;Friday;79555;14;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-01 00:00:00 +0100;Saturday;73655;12;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-02 00:00:00 +0100;Sunday;21720;13;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-03 00:00:00 +0100;Monday;60920;12;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-04 00:00:00 +0100;Tuesday;48969;8;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-05 00:00:00 +0100;Wednesday;59241;9;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-02-06 00:00:00 +0100;Thursday;58669;6;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-02-07 00:00:00 +0100;Friday;66503;7;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-02-08 00:00:00 +0100;Saturday;105095;5;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-02-09 00:00:00 +0100;Sunday;20246;13;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-10 00:00:00 +0100;Monday;38228;13;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-11 00:00:00 +0100;Tuesday;48636;8;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-12 00:00:00 +0100;Wednesday;52724;7;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-13 00:00:00 +0100;Thursday;49782;7;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-14 00:00:00 +0100;Friday;74934;10;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-15 00:00:00 +0100;Saturday;113850;11;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-02-16 00:00:00 +0100;Sunday;27275;17;wind;
Zeil (Mitte), Frankfurt a.M.;2020-02-17 00:00:00 +0100;Monday;49131;15;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-18 00:00:00 +0100;Tuesday;54193;9;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-19 00:00:00 +0100;Wednesday;54946;8;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-20 00:00:00 +0100;Thursday;54664;10;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-21 00:00:00 +0100;Friday;71556;10;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-22 00:00:00 +0100;Saturday;102253;12;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-02-23 00:00:00 +0100;Sunday;23063;14;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-24 00:00:00 +0100;Monday;51932;11;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-25 00:00:00 +0100;Tuesday;52583;11;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-26 00:00:00 +0100;Wednesday;43784;7;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-27 00:00:00 +0100;Thursday;31927;5;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-28 00:00:00 +0100;Friday;64763;8;rain;
Zeil (Mitte), Frankfurt a.M.;2020-02-29 00:00:00 +0100;Saturday;87606;14;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-01 00:00:00 +0100;Sunday;21997;12;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-02 00:00:00 +0100;Monday;53325;11;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-03 00:00:00 +0100;Tuesday;51478;9;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-04 00:00:00 +0100;Wednesday;50334;10;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-05 00:00:00 +0100;Thursday;35124;8;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-06 00:00:00 +0100;Friday;49777;9;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-07 00:00:00 +0100;Saturday;100522;10;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-08 00:00:00 +0100;Sunday;23478;11;cloudy;
Zeil (Mitte), Frankfurt a.M.;2020-03-09 00:00:00 +0100;Monday;53554;11;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-10 00:00:00 +0100;Tuesday;32291;13;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-11 00:00:00 +0100;Wednesday;47874;14;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-12 00:00:00 +0100;Thursday;49982;13;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-13 00:00:00 +0100;Friday;51031;11;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-14 00:00:00 +0100;Saturday;67451;12;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-15 00:00:00 +0100;Sunday;18234;15;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-16 00:00:00 +0100;Monday;45066;18;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-17 00:00:00 +0100;Tuesday;36637;16;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-18 00:00:00 +0100;Wednesday;21234;18;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-19 00:00:00 +0100;Thursday;22147;18;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-20 00:00:00 +0100;Friday;15124;16;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-21 00:00:00 +0100;Saturday;10832;9;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-22 00:00:00 +0100;Sunday;5364;10;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-23 00:00:00 +0100;Monday;11980;9;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-24 00:00:00 +0100;Tuesday;11852;10;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-25 00:00:00 +0100;Wednesday;11808;11;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-26 00:00:00 +0100;Thursday;13590;12;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-27 00:00:00 +0100;Friday;12848;18;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-28 00:00:00 +0100;Saturday;15515;19;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-29 00:00:00 +0100;Sunday;4090;9;rain;
Zeil (Mitte), Frankfurt a.M.;2020-03-30 00:00:00 +0200;Monday;13679;10;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-03-31 00:00:00 +0200;Tuesday;13529;10;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-01 00:00:00 +0200;Wednesday;8033;12;clear-day;
