location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Planken (Ost), Mannheim;2020-01-01 00:00:00 +0100;Wednesday;8114;3;clear-day;
Planken (Ost), Mannheim;2020-01-02 00:00:00 +0100;Thursday;25399;3;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-03 00:00:00 +0100;Friday;26111;9;rain;
Planken (Ost), Mannheim;2020-01-04 00:00:00 +0100;Saturday;32381;8;rain;
Planken (Ost), Mannheim;2020-01-05 00:00:00 +0100;Sunday;6777;7;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-06 00:00:00 +0100;Monday;4849;3;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-07 00:00:00 +0100;Tuesday;18321;8;rain;
Planken (Ost), Mannheim;2020-01-08 00:00:00 +0100;Wednesday;15467;8;rain;
Planken (Ost), Mannheim;2020-01-09 00:00:00 +0100;Thursday;17173;12;rain;
Planken (Ost), Mannheim;2020-01-10 00:00:00 +0100;Friday;18892;12;rain;
Planken (Ost), Mannheim;2020-01-11 00:00:00 +0100;Saturday;32642;8;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-12 00:00:00 +0100;Sunday;5393;6;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-13 00:00:00 +0100;Monday;15252;8;cloudy;
Planken (Ost), Mannheim;2020-01-14 00:00:00 +0100;Tuesday;16368;11;cloudy;
Planken (Ost), Mannheim;2020-01-15 00:00:00 +0100;Wednesday;18057;13;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-16 00:00:00 +0100;Thursday;18815;14;clear-day;
Planken (Ost), Mannheim;2020-01-17 00:00:00 +0100;Friday;19693;10;rain;
Planken (Ost), Mannheim;2020-01-18 00:00:00 +0100;Saturday;31895;8;rain;
Planken (Ost), Mannheim;2020-01-19 00:00:00 +0100;Sunday;6294;6;rain;
Planken (Ost), Mannheim;2020-01-20 00:00:00 +0100;Monday;16663;6;clear-day;
Planken (Ost), Mannheim;2020-01-21 00:00:00 +0100;Tuesday;15743;5;clear-day;
Planken (Ost), Mannheim;2020-01-22 00:00:00 +0100;Wednesday;13293;2;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-23 00:00:00 +0100;Thursday;15332;6;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-24 00:00:00 +0100;Friday;17539;4;clear-day;
Planken (Ost), Mannheim;2020-01-25 00:00:00 +0100;Saturday;30432;4;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-26 00:00:00 +0100;Sunday;5600;5;partly-cloudy-day;
Planken (Ost), Mannheim;2020-01-27 00:00:00 +0100;Monday;13190;9;rain;
Planken (Ost), Mannheim;2020-01-28 00:00:00 +0100;Tuesday;11911;8;rain;
Planken (Ost), Mannheim;2020-01-29 00:00:00 +0100;Wednesday;14789;7;rain;
Planken (Ost), Mannheim;2020-01-30 00:00:00 +0100;Thursday;16907;11;rain;
Planken (Ost), Mannheim;2020-01-31 00:00:00 +0100;Friday;22664;15;rain;
