location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Kaufingerstraße, München;2020-01-01 00:00:00 +0100;Wednesday;61896;3;clear-day;
Kaufingerstraße, München;2020-01-02 00:00:00 +0100;Thursday;128865;4;clear-day;
Kaufingerstraße, München;2020-01-03 00:00:00 +0100;Friday;123737;8;partly-cloudy-day;
Kaufingerstraße, München;2020-01-04 00:00:00 +0100;Saturday;118112;7;rain;
Kaufingerstraße, München;2020-01-05 00:00:00 +0100;Sunday;35286;4;rain;
Kaufingerstraße, München;2020-01-06 00:00:00 +0100;Monday;33596;5;clear-day;
Kaufingerstraße, München;2020-01-07 00:00:00 +0100;Tuesday;56079;4;rain;
Kaufingerstraße, München;2020-01-08 00:00:00 +0100;Wednesday;62615;6;partly-cloudy-day;
Kaufingerstraße, München;2020-01-09 00:00:00 +0100;Thursday;69690;12;cloudy;
Kaufingerstraße, München;2020-01-10 00:00:00 +0100;Friday;79217;10;partly-cloudy-day;
Kaufingerstraße, München;2020-01-11 00:00:00 +0100;Saturday;114360;7;partly-cloudy-day;
Kaufingerstraße, München;2020-01-12 00:00:00 +0100;Sunday;29366;6;partly-cloudy-day;
Kaufingerstraße, München;2020-01-13 00:00:00 +0100;Monday;60058;7;partly-cloudy-day;
Kaufingerstraße, München;2020-01-14 00:00:00 +0100;Tuesday;61250;9;partly-cloudy-day;
Kaufingerstraße, München;2020-01-15 00:00:00 +0100;Wednesday;63147;9;partly-cloudy-day;
Kaufingerstraße, München;2020-01-16 00:00:00 +0100;Thursday;62923;10;partly-cloudy-day;
Kaufingerstraße, München;2020-01-17 00:00:00 +0100;Friday;78998;11;clear-day;
Kaufingerstraße, München;2020-01-18 00:00:00 +0100;Saturday;102862;6;rain;
Kaufingerstraße, München;2020-01-19 00:00:00 +0100;Sunday;24408;2;snow;
Kaufingerstraße, München;2020-01-20 00:00:00 +0100;Monday;54335;3;partly-cloudy-day;
Kaufingerstraße, München;2020-01-21 00:00:00 +0100;Tuesday;54053;1;partly-cloudy-day;
Kaufingerstraße, München;2020-01-22 00:00:00 +0100;Wednesday;54618;2;partly-cloudy-day;
Kaufingerstraße, München;2020-01-23 00:00:00 +0100;Thursday;55530;2;clear-day;
Kaufingerstraße, München;2020-01-24 00:00:00 +0100;Friday;79833;6;clear-day;
Kaufingerstraße, München;2020-01-25 00:00:00 +0100;Saturday;129792;8;cloudy;
Kaufingerstraße, München;2020-01-26 00:00:00 +0100;Sunday;34853;8;cloudy;
Kaufingerstraße, München;2020-01-27 00:00:00 +0100;Monday;66645;10;rain;
Kaufingerstraße, München;2020-01-28 00:00:00 +0100;Tuesday;50555;6;rain;
Kaufingerstraße, München;2020-01-29 00:00:00 +0100;Wednesday;51021;5;rain;
Kaufingerstraße, München;2020-01-30 00:00:00 +0100;Thursday;63922;10;rain;
Kaufingerstraße, München;2020-01-31 00:00:00 +0100;Friday;78096;14;rain;
Kaufingerstraße, München;2020-02-01 00:00:00 +0100;Saturday;112521;14;rain;
Kaufingerstraße, München;2020-02-02 00:00:00 +0100;Sunday;24151;12;rain;
Kaufingerstraße, München;2020-02-03 00:00:00 +0100;Monday;25703;11;rain;
Kaufingerstraße, München;2020-02-04 00:00:00 +0100;Tuesday;50787;12;rain;
Kaufingerstraße, München;2020-02-05 00:00:00 +0100;Wednesday;59510;3;snow;
Kaufingerstraße, München;2020-02-06 00:00:00 +0100;Thursday;66272;6;clear-day;
Kaufingerstraße, München;2020-02-07 00:00:00 +0100;Friday;76522;5;clear-day;
Kaufingerstraße, München;2020-02-08 00:00:00 +0100;Saturday;126053;10;clear-day;
Kaufingerstraße, München;2020-02-09 00:00:00 +0100;Sunday;39330;13;partly-cloudy-day;
Kaufingerstraße, München;2020-02-10 00:00:00 +0100;Monday;44170;12;rain;
Kaufingerstraße, München;2020-02-11 00:00:00 +0100;Tuesday;45317;8;rain;
Kaufingerstraße, München;2020-02-12 00:00:00 +0100;Wednesday;55543;5;rain;
Kaufingerstraße, München;2020-02-13 00:00:00 +0100;Thursday;67561;9;rain;
Kaufingerstraße, München;2020-02-14 00:00:00 +0100;Friday;82958;8;rain;
Kaufingerstraße, München;2020-02-15 00:00:00 +0100;Saturday;127401;11;partly-cloudy-day;
Kaufingerstraße, München;2020-02-16 00:00:00 +0100;Sunday;45770;15;cloudy;
Kaufingerstraße, München;2020-02-17 00:00:00 +0100;Monday;62886;13;rain;
Kaufingerstraße, München;2020-02-18 00:00:00 +0100;Tuesday;63489;9;rain;
Kaufingerstraße, München;2020-02-19 00:00:00 +0100;Wednesday;56084;6;rain;
Kaufingerstraße, München;2020-02-20 00:00:00 +0100;Thursday;69289;10;partly-cloudy-day;
Kaufingerstraße, München;2020-02-21 00:00:00 +0100;Friday;85707;8;rain;
Kaufingerstraße, München;2020-02-22 00:00:00 +0100;Saturday;133730;15;partly-cloudy-day;
Kaufingerstraße, München;2020-02-23 00:00:00 +0100;Sunday;51022;15;rain;
Kaufingerstraße, München;2020-02-24 00:00:00 +0100;Monday;85119;13;rain;
Kaufingerstraße, München;2020-02-25 00:00:00 +0100;Tuesday;87780;11;partly-cloudy-day;
Kaufingerstraße, München;2020-02-26 00:00:00 +0100;Wednesday;61274;6;rain;
Kaufingerstraße, München;2020-02-27 00:00:00 +0100;Thursday;58179;6;snow;
Kaufingerstraße, München;2020-02-28 00:00:00 +0100;Friday;77330;6;snow;
Kaufingerstraße, München;2020-02-29 00:00:00 +0100;Saturday;110905;13;cloudy;
Kaufingerstraße, München;2020-03-01 00:00:00 +0100;Sunday;31293;12;rain;
Kaufingerstraße, München;2020-03-02 00:00:00 +0100;Monday;56225;10;rain;
Kaufingerstraße, München;2020-03-03 00:00:00 +0100;Tuesday;46077;6;rain;
Kaufingerstraße, München;2020-03-04 00:00:00 +0100;Wednesday;53560;8;rain;
Kaufingerstraße, München;2020-03-05 00:00:00 +0100;Thursday;43191;10;rain;
Kaufingerstraße, München;2020-03-06 00:00:00 +0100;Friday;65908;8;rain;
Kaufingerstraße, München;2020-03-07 00:00:00 +0100;Saturday;106850;6;rain;
Kaufingerstraße, München;2020-03-08 00:00:00 +0100;Sunday;37137;11;partly-cloudy-day;
Kaufingerstraße, München;2020-03-09 00:00:00 +0100;Monday;48947;7;rain;
Kaufingerstraße, München;2020-03-10 00:00:00 +0100;Tuesday;26483;9;rain;
