location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Große Bleichen, Hamburg;2020-01-01 00:00:00 +0100;Wednesday;5843;3;clear-day;
Große Bleichen, Hamburg;2020-01-02 00:00:00 +0100;Thursday;18708;3;clear-day;
Große Bleichen, Hamburg;2020-01-03 00:00:00 +0100;Friday;13622;8;rain;
Große Bleichen, Hamburg;2020-01-04 00:00:00 +0100;Saturday;14963;7;rain;
Große Bleichen, Hamburg;2020-01-05 00:00:00 +0100;Sunday;10173;6;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-06 00:00:00 +0100;Monday;12285;6;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-07 00:00:00 +0100;Tuesday;13139;8;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-08 00:00:00 +0100;Wednesday;11578;11;rain;
Große Bleichen, Hamburg;2020-01-09 00:00:00 +0100;Thursday;11882;12;rain;
Große Bleichen, Hamburg;2020-01-10 00:00:00 +0100;Friday;13617;11;rain;
Große Bleichen, Hamburg;2020-01-11 00:00:00 +0100;Saturday;16403;7;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-12 00:00:00 +0100;Sunday;2212;8;rain;
Große Bleichen, Hamburg;2020-01-13 00:00:00 +0100;Monday;12974;8;rain;
Große Bleichen, Hamburg;2020-01-14 00:00:00 +0100;Tuesday;11920;10;rain;
Große Bleichen, Hamburg;2020-01-15 00:00:00 +0100;Wednesday;13569;13;rain;
Große Bleichen, Hamburg;2020-01-16 00:00:00 +0100;Thursday;13070;9;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-17 00:00:00 +0100;Friday;13969;10;rain;
Große Bleichen, Hamburg;2020-01-18 00:00:00 +0100;Saturday;14661;8;rain;
Große Bleichen, Hamburg;2020-01-19 00:00:00 +0100;Sunday;3873;8;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-20 00:00:00 +0100;Monday;13105;6;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-21 00:00:00 +0100;Tuesday;12673;6;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-22 00:00:00 +0100;Wednesday;12945;8;rain;
Große Bleichen, Hamburg;2020-01-23 00:00:00 +0100;Thursday;13700;7;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-24 00:00:00 +0100;Friday;12937;4;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-25 00:00:00 +0100;Saturday;16083;3;rain;
Große Bleichen, Hamburg;2020-01-26 00:00:00 +0100;Sunday;3092;5;partly-cloudy-day;
Große Bleichen, Hamburg;2020-01-27 00:00:00 +0100;Monday;11536;7;rain;
Große Bleichen, Hamburg;2020-01-28 00:00:00 +0100;Tuesday;11203;7;rain;
Große Bleichen, Hamburg;2020-01-29 00:00:00 +0100;Wednesday;7974;6;rain;
Große Bleichen, Hamburg;2020-01-30 00:00:00 +0100;Thursday;12680;9;rain;
Große Bleichen, Hamburg;2020-01-31 00:00:00 +0100;Friday;14682;11;rain;
Große Bleichen, Hamburg;2020-02-01 00:00:00 +0100;Saturday;17951;12;rain;
Große Bleichen, Hamburg;2020-02-02 00:00:00 +0100;Sunday;3018;8;rain;
Große Bleichen, Hamburg;2020-02-03 00:00:00 +0100;Monday;12705;9;rain;
Große Bleichen, Hamburg;2020-02-04 00:00:00 +0100;Tuesday;12722;7;rain;
Große Bleichen, Hamburg;2020-02-05 00:00:00 +0100;Wednesday;14297;7;clear-day;
Große Bleichen, Hamburg;2020-02-06 00:00:00 +0100;Thursday;13720;8;partly-cloudy-day;
Große Bleichen, Hamburg;2020-02-07 00:00:00 +0100;Friday;15458;7;partly-cloudy-day;
Große Bleichen, Hamburg;2020-02-08 00:00:00 +0100;Saturday;20260;8;partly-cloudy-day;
Große Bleichen, Hamburg;2020-02-09 00:00:00 +0100;Sunday;3323;12;rain;
Große Bleichen, Hamburg;2020-02-10 00:00:00 +0100;Monday;10482;10;rain;
Große Bleichen, Hamburg;2020-02-11 00:00:00 +0100;Tuesday;11189;5;rain;
Große Bleichen, Hamburg;2020-02-12 00:00:00 +0100;Wednesday;11459;6;rain;
Große Bleichen, Hamburg;2020-02-13 00:00:00 +0100;Thursday;11646;5;rain;
Große Bleichen, Hamburg;2020-02-14 00:00:00 +0100;Friday;17194;7;rain;
Große Bleichen, Hamburg;2020-02-15 00:00:00 +0100;Saturday;20799;11;wind;
Große Bleichen, Hamburg;2020-02-16 00:00:00 +0100;Sunday;3568;15;rain;
Große Bleichen, Hamburg;2020-02-17 00:00:00 +0100;Monday;14228;10;rain;
Große Bleichen, Hamburg;2020-02-18 00:00:00 +0100;Tuesday;14004;7;rain;
Große Bleichen, Hamburg;2020-02-19 00:00:00 +0100;Wednesday;11855;7;rain;
Große Bleichen, Hamburg;2020-02-20 00:00:00 +0100;Thursday;13313;8;rain;
Große Bleichen, Hamburg;2020-02-21 00:00:00 +0100;Friday;14404;7;rain;
