location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ehrenstraße (Mitte), Köln;2020-01-01 00:00:00 +0100;Wednesday;6582;4;clear-day;
Ehrenstraße (Mitte), Köln;2020-01-02 00:00:00 +0100;Thursday;26188;5;clear-day;
Ehrenstraße (Mitte), Köln;2020-01-03 00:00:00 +0100;Friday;22979;10;rain;
Ehrenstraße (Mitte), Köln;2020-01-04 00:00:00 +0100;Saturday;31111;7;rain;
Ehrenstraße (Mitte), Köln;2020-01-05 00:00:00 +0100;Sunday;6689;9;rain;
Ehrenstraße (Mitte), Köln;2020-01-06 00:00:00 +0100;Monday;19110;6;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-01-07 00:00:00 +0100;Tuesday;16042;9;rain;
Ehrenstraße (Mitte), Köln;2020-01-08 00:00:00 +0100;Wednesday;15498;11;rain;
Ehrenstraße (Mitte), Köln;2020-01-09 00:00:00 +0100;Thursday;14012;13;rain;
Ehrenstraße (Mitte), Köln;2020-01-10 00:00:00 +0100;Friday;17033;11;rain;
Ehrenstraße (Mitte), Köln;2020-01-11 00:00:00 +0100;Saturday;33757;8;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-01-12 00:00:00 +0100;Sunday;7153;8;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-01-13 00:00:00 +0100;Monday;15761;9;rain;
Ehrenstraße (Mitte), Köln;2020-01-14 00:00:00 +0100;Tuesday;15961;12;rain;
Ehrenstraße (Mitte), Köln;2020-01-15 00:00:00 +0100;Wednesday;16878;14;rain;
Ehrenstraße (Mitte), Köln;2020-01-16 00:00:00 +0100;Thursday;18574;12;clear-day;
Ehrenstraße (Mitte), Köln;2020-01-17 00:00:00 +0100;Friday;18910;11;rain;
Ehrenstraße (Mitte), Köln;2020-01-18 00:00:00 +0100;Saturday;32980;7;rain;
Ehrenstraße (Mitte), Köln;2020-01-19 00:00:00 +0100;Sunday;7815;6;rain;
Ehrenstraße (Mitte), Köln;2020-01-20 00:00:00 +0100;Monday;15045;6;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-01-21 00:00:00 +0100;Tuesday;16076;4;clear-day;
Ehrenstraße (Mitte), Köln;2020-01-22 00:00:00 +0100;Wednesday;14643;1;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-01-23 00:00:00 +0100;Thursday;15528;5;clear-day;
Ehrenstraße (Mitte), Köln;2020-01-24 00:00:00 +0100;Friday;18511;3;clear-day;
Ehrenstraße (Mitte), Köln;2020-01-25 00:00:00 +0100;Saturday;31212;4;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-01-26 00:00:00 +0100;Sunday;8992;9;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-01-27 00:00:00 +0100;Monday;13074;8;rain;
Ehrenstraße (Mitte), Köln;2020-01-28 00:00:00 +0100;Tuesday;13852;8;rain;
Ehrenstraße (Mitte), Köln;2020-01-29 00:00:00 +0100;Wednesday;14748;7;rain;
Ehrenstraße (Mitte), Köln;2020-01-30 00:00:00 +0100;Thursday;16046;12;rain;
Ehrenstraße (Mitte), Köln;2020-01-31 00:00:00 +0100;Friday;23377;15;rain;
Ehrenstraße (Mitte), Köln;2020-02-01 00:00:00 +0100;Saturday;27381;12;rain;
Ehrenstraße (Mitte), Köln;2020-02-02 00:00:00 +0100;Sunday;7019;13;rain;
Ehrenstraße (Mitte), Köln;2020-02-03 00:00:00 +0100;Monday;14499;11;rain;
Ehrenstraße (Mitte), Köln;2020-02-04 00:00:00 +0100;Tuesday;12956;8;rain;
Ehrenstraße (Mitte), Köln;2020-02-05 00:00:00 +0100;Wednesday;17217;8;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-02-06 00:00:00 +0100;Thursday;16994;7;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-02-07 00:00:00 +0100;Friday;21719;8;clear-day;
Ehrenstraße (Mitte), Köln;2020-02-08 00:00:00 +0100;Saturday;32724;11;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-02-09 00:00:00 +0100;Sunday;5681;14;rain;
Ehrenstraße (Mitte), Köln;2020-02-10 00:00:00 +0100;Monday;11644;12;rain;
Ehrenstraße (Mitte), Köln;2020-02-11 00:00:00 +0100;Tuesday;13938;7;rain;
Ehrenstraße (Mitte), Köln;2020-02-12 00:00:00 +0100;Wednesday;16618;8;rain;
Ehrenstraße (Mitte), Köln;2020-02-13 00:00:00 +0100;Thursday;13305;8;rain;
Ehrenstraße (Mitte), Köln;2020-02-14 00:00:00 +0100;Friday;22250;10;rain;
Ehrenstraße (Mitte), Köln;2020-02-15 00:00:00 +0100;Saturday;43377;14;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-02-16 00:00:00 +0100;Sunday;8455;17;rain;
Ehrenstraße (Mitte), Köln;2020-02-17 00:00:00 +0100;Monday;17023;12;rain;
Ehrenstraße (Mitte), Köln;2020-02-18 00:00:00 +0100;Tuesday;17520;9;rain;
Ehrenstraße (Mitte), Köln;2020-02-19 00:00:00 +0100;Wednesday;18304;8;rain;
